"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Jan 26, 2023","4.8494","4.8494","4.8494","4.8494","0.06%"
"Jan 25, 2023","4.8467","4.8786","4.8786","4.8254","-0.21%"
"Jan 24, 2023","4.8570","4.9080","4.9080","4.8490","0.50%"
"Jan 23, 2023","4.8330","4.8550","4.8700","4.8250","-0.34%"
"Jan 22, 2023","4.8494","4.8468","4.8494","4.8468","0.44%"
"Jan 20, 2023","4.8280","4.8650","4.8680","4.8230","0.06%"
"Jan 19, 2023","4.8250","4.8220","4.8460","4.8060","0.33%"
"Jan 18, 2023","4.8090","4.8920","5.0140","4.8100","0.46%"
"Jan 17, 2023","4.7870","4.8490","4.8690","4.7680","-0.95%"
"Jan 16, 2023","4.8329","4.8329","4.8329","4.8329","0.73%"
"Jan 13, 2023","4.7980","4.8380","4.8380","4.7820","0.00%"
"Jan 12, 2023","4.7980","4.9160","4.9600","4.7930","-1.50%"
"Jan 11, 2023","4.8710","4.9210","4.9350","4.8520","-0.33%"
"Jan 10, 2023","4.8870","4.9240","4.9560","4.8550","1.12%"
"Jan 09, 2023","4.8330","4.8490","4.9242","4.8270","-0.18%"
"Jan 08, 2023","4.8415","4.8415","4.8415","4.8415","0.22%"
"Jan 06, 2023","4.8310","4.8810","4.8890","4.8230","-0.37%"
"Jan 05, 2023","4.8490","4.8310","4.8940","4.7850","1.27%"
"Jan 04, 2023","4.7880","4.8470","4.8490","4.7800","0.19%"
"Jan 03, 2023","4.7790","4.7610","4.8060","4.7210","0.37%"
"Jan 02, 2023","4.7612","4.7612","4.7612","4.7612","-0.12%"
"Dec 30, 2022","4.7670","4.7580","4.7800","4.7370","0.80%"
"Dec 29, 2022","4.7290","4.7800","4.7900","4.7210","-0.40%"
"Dec 28, 2022","4.7480","4.8100","4.8180","4.7430","1.26%"
"Dec 27, 2022","4.6890","4.7210","4.7290","4.6470","-0.41%"
"Dec 26, 2022","4.7082","4.7028","4.7082","4.7028","0.85%"
"Dec 23, 2022","4.6684","4.7160","4.7160","4.6530","-0.23%"
"Dec 22, 2022","4.6790","4.7320","4.7350","4.6630","-0.06%"
"Dec 21, 2022","4.6820","4.7510","4.7800","4.6770","-0.57%"
"Dec 20, 2022","4.7090","4.7350","4.7620","4.7030","0.53%"
"Dec 19, 2022","4.6840","4.7090","4.7450","4.6550","0.38%"
"Dec 18, 2022","4.6663","4.6822","4.6822","4.6663","-0.40%"
"Dec 16, 2022","4.6850","4.7480","4.7660","4.6580","-0.26%"
"Dec 15, 2022","4.6970","4.7380","4.8070","4.6870","0.04%"
"Dec 14, 2022","4.6950","4.7830","4.8100","4.6790","-0.34%"
"Dec 13, 2022","4.7110","4.8390","4.8550","4.6880","-1.32%"
"Dec 12, 2022","4.7740","4.7750","4.8180","4.7320","-0.91%"
"Dec 11, 2022","4.8176","4.7406","4.8176","4.7406","1.85%"
"Dec 09, 2022","4.7300","4.7900","4.7900","4.7110","0.30%"
