Date,Price,Time to Expiry,Bond Price
2022-01-26,1.6894,6.016438356164383,110.2649202431876
2022-01-27,1.6616,6.013698630136986,110.43660693615253
2022-01-28,1.6208,6.010958904109589,110.68700788302021
2022-01-30,1.6372,6.005479452054795,110.59603127625293
2022-01-31,1.6144,6.002739726027397,110.73769883305532
2022-02-01,1.6226,6.0,110.69220071712334
2022-02-02,1.603,5.997260273972603,109.22439488997425
2022-02-03,1.6737,5.994520547945205,108.80911908403448
2022-02-04,1.7732,5.991780821917808,108.2265614212646
2022-02-06,1.7765,5.986301369863014,108.21588289935337
2022-02-07,1.7667,5.983561643835617,108.27778870986252
2022-02-08,1.8167,5.980821917808219,107.98899612554091
2022-02-09,1.8218,5.978082191780822,107.96360610892621
2022-02-10,1.9658,5.975342465753425,107.12981410223964
2022-02-11,1.8325,5.972602739726027,107.91000092405122
2022-02-14,1.908,5.964383561643835,107.48395721113569
2022-02-15,1.9368,5.961643835616439,107.32155999319528
2022-02-16,1.9219,5.958904109589041,107.4126199247751
2022-02-17,1.8466,5.956164383561644,107.8547540245738
2022-02-18,1.8188,5.953424657534247,108.02122959817703
2022-02-21,1.767,5.945205479452055,108.33678276073454
2022-02-22,1.8677,5.942465753424657,107.75476657562835
2022-02-23,1.91,5.93972602739726,107.51420114851153
2022-02-24,1.8651,5.936986301369863,107.77897028900742
2022-02-25,1.8701,5.934246575342466,107.75453460271666
2022-02-27,1.7881,5.928767123287671,108.23990025395457
2022-02-28,1.7129,5.926027397260274,108.68298956768716
2022-03-01,1.5697,5.923287671232877,109.52795017449886
2022-03-02,1.7568,5.920547945205479,108.43527989077946
2022-03-03,1.7306,5.917808219178082,108.59233710765893
2022-03-04,1.647,5.9150684931506845,109.08542706626179
2022-03-06,1.5673,5.909589041095891,109.56160350386085
2022-03-07,1.7024,5.906849315068493,108.77381473082025
2022-03-08,1.7761,5.904109589041096,108.34906533604992
2022-03-09,1.8799,5.901369863013699,107.75280605563907
2022-03-10,1.9246,5.898630136986301,107.50002167980782
2022-03-11,1.9496,5.895890410958904,107.36112479351192
2022-03-13,2.0012,5.890410958904109,107.0751663716396
2022-03-14,2.0966,5.887671232876713,106.5364548343776
2022-03-15,2.1068,5.884931506849315,106.48360135322434
2022-03-16,2.1877,5.882191780821918,106.03083934775933
2022-03-17,2.1424,5.879452054794521,106.29207715319063
2022-03-18,2.1461,5.876712328767123,106.27630037371007
2022-03-20,2.1461,5.8712328767123285,106.28661874738151
2022-03-21,2.3243,5.868493150684931,105.29054201798155
2022-03-22,2.3996,5.865753424657535,104.87640492951519
2022-03-23,2.3145,5.863013698630137,105.35633898306293
2022-03-24,2.3985,5.86027397260274,104.89388159391004
2022-03-25,2.5612,5.857534246575343,104.00026473495899
2022-03-27,2.5508,5.852054794520548,104.06945613391306
2022-03-28,2.5633,5.8493150684931505,104.0067502620901
2022-03-29,2.5017,5.846575342465753,104.3516652378264
2022-03-30,2.4416,5.843835616438356,104.6893096830718
2022-03-31,2.4649,5.841095890410959,104.56636578592055
2022-04-01,2.5654,5.838356164383562,104.01928389725086
2022-04-03,2.5923,5.832876712328767,103.88400869303923
2022-04-04,2.5453,5.83013698630137,104.14753042009994
2022-04-05,2.704,5.8273972602739725,103.28745348882327
2022-04-06,2.6888,5.824657534246575,103.37630598723521
2022-04-07,2.716,5.821917808219178,103.2349375045513
2022-04-08,2.7555,5.8191780821917805,103.02737109281463
2022-04-10,2.7777,5.813698630136987,102.92026191597529
2022-04-11,2.7846,5.810958904109589,102.88948048710733
2022-04-12,2.6961,5.808219178082192,103.3743193727517
2022-04-13,2.6605,5.8054794520547945,103.57368768665972
2022-04-14,2.7855,5.802739726027397,102.9039894422759
2022-04-17,2.806,5.794520547945205,102.81311120685812
2022-04-18,2.789,5.791780821917809,102.91098779530562
2022-04-19,2.9183,5.789041095890411,102.22501260581964
2022-04-20,2.8615,5.786301369863014,102.53513418945755
2022-04-21,2.9637,5.7835616438356166,101.99675305620354
2022-04-22,2.9401,5.780821917808219,102.12905883003711
2022-04-24,2.9262,5.7753424657534245,102.21652137512454
2022-04-25,2.859,5.772602739726027,102.58151525895335
2022-04-26,2.7386,5.76986301369863,103.23339632181865
2022-04-27,2.8248,5.767123287671233,102.77747442225242
2022-04-28,2.8479,5.764383561643836,102.66057587514824
2022-04-29,2.9618,5.761643835616439,102.06123558247938
2022-05-01,2.9669,5.756164383561644,102.04782127440095
2022-05-02,3.0028,5.7534246575342465,101.8647677912858
2022-05-03,3.0269,5.750684931506849,101.74446289559901
2022-05-04,2.9262,5.747945205479452,102.28384428941774
2022-05-05,3.0066,5.745205479452054,101.8653553434486
2022-05-06,3.0791,5.742465753424658,101.49068222265568
2022-05-08,3.0842,5.736986301369863,101.47797224670896
2022-05-09,2.942,5.734246575342466,102.23392096682133
2022-05-10,2.908,5.7315068493150685,102.42063101126544
2022-05-11,2.8978,5.728767123287671,102.48136896868064
2022-05-12,2.8382,5.726027397260274,102.80432574961301
2022-05-13,2.8741,5.723287671232876,102.62032511528233
2022-05-15,2.8912,5.717808219178083,102.54304146657357
2022-05-16,2.8247,5.715068493150685,102.90230267968222
2022-05-17,2.9668,5.712328767123288,102.15738764660784
2022-05-18,2.888,5.7095890410958905,102.57998816737316
2022-05-19,2.8367,5.706849315068493,102.85828625538478
2022-05-20,2.806,5.704109589041096,103.02774790959259
2022-05-22,2.8266,5.698630136986301,102.9315196982589
2022-05-23,2.8763,5.695890410958904,102.67512946612649
2022-05-24,2.7429,5.693150684931507,103.38904367476422
