"Date","Price","Open","High","Low","Change %"
"Jan 26, 2023","3.8325","3.8297","3.8381","3.8269","0.07%"
"Jan 25, 2023","3.8297","3.8578","3.8775","3.8185","-0.73%"
"Jan 24, 2023","3.8578","3.8860","3.9200","3.8520","-1.01%"
"Jan 23, 2023","3.8971","3.8380","3.9030","3.8100","1.53%"
"Jan 22, 2023","3.8383","3.8327","3.8383","3.8327","0.15%"
"Jan 20, 2023","3.8327","3.7720","3.8640","3.7720","1.62%"
"Jan 19, 2023","3.7716","3.7300","3.7880","3.6800","1.12%"
"Jan 18, 2023","3.7299","3.8720","3.8890","3.7160","-3.81%"
"Jan 17, 2023","3.8777","3.9080","3.9390","3.8410","-0.64%"
"Jan 16, 2023","3.9028","3.9056","3.9056","3.9028","0.36%"
"Jan 13, 2023","3.8889","3.8110","3.9060","3.7750","2.05%"
"Jan 12, 2023","3.8109","3.9220","4.0060","3.7800","-2.77%"
"Jan 11, 2023","3.9196","3.9670","3.9670","3.9110","-1.57%"
"Jan 10, 2023","3.9820","3.9540","4.0330","3.9390","0.87%"
"Jan 09, 2023","3.9478","3.9880","4.0250","3.9220","-0.93%"
"Jan 08, 2023","3.9849","3.9849","3.9849","3.9849","0.00%"
"Jan 06, 2023","3.9849","4.2100","4.2770","3.9740","-5.35%"
"Jan 05, 2023","4.2103","4.1240","4.2620","4.1220","2.43%"
"Jan 04, 2023","4.1103","4.1590","4.1610","4.0760","-1.09%"
"Jan 03, 2023","4.1558","4.2380","4.2380","4.1160","-1.62%"
"Jan 02, 2023","4.2242","4.2242","4.2242","4.2242","-0.07%"
"Dec 30, 2022","4.2270","4.1690","4.2500","4.1670","1.45%"
"Dec 29, 2022","4.1666","4.1690","4.1950","4.1550","-0.34%"
"Dec 28, 2022","4.1807","4.1720","4.1920","4.1470","0.28%"
"Dec 27, 2022","4.1692","4.0930","4.2090","4.0870","1.94%"
"Dec 26, 2022","4.0899","4.0927","4.0927","4.0899","-0.07%"
"Dec 23, 2022","4.0927","4.0390","4.1010","4.0250","1.26%"
"Dec 22, 2022","4.0419","3.9970","4.0420","3.9600","1.06%"
"Dec 21, 2022","3.9997","4.0310","4.0420","3.9520","-0.70%"
"Dec 20, 2022","4.0278","4.0050","4.0700","3.9890","0.63%"
"Dec 19, 2022","4.0026","3.9410","4.0110","3.9080","1.49%"
"Dec 18, 2022","3.9439","3.9327","3.9439","3.9327","0.93%"
"Dec 16, 2022","3.9076","3.9610","4.0250","3.8820","-1.00%"
"Dec 15, 2022","3.9470","3.9360","3.9920","3.9080","0.85%"
"Dec 14, 2022","3.9136","3.9440","4.0450","3.8800","-0.71%"
"Dec 13, 2022","3.9415","4.0980","4.1260","3.8580","-4.68%"
"Dec 12, 2022","4.1350","4.1100","4.1630","4.0550","0.54%"
"Dec 11, 2022","4.1126","4.1098","4.1126","4.1098","0.35%"
"Dec 09, 2022","4.0984","4.0570","4.1070","3.9960","1.09%"
"Dec 08, 2022","4.0542","4.0040","4.0710","4.0010","1.47%"
"Dec 07, 2022","3.9953","4.1120","4.1200","3.9730","-2.63%"
"Dec 06, 2022","4.1032","4.1230","4.1460","4.0780","-0.56%"
"Dec 05, 2022","4.1262","4.0220","4.1460","4.0160","2.59%"
"Dec 04, 2022","4.0221","4.0221","4.0221","4.0221","0.63%"
"Dec 02, 2022","3.9968","3.9760","4.1320","3.8960","0.74%"
"Dec 01, 2022","3.9673","4.0610","4.1050","3.9640","-2.43%"
"Nov 30, 2022","4.0661","4.2440","4.3140","4.0490","-4.25%"
"Nov 29, 2022","4.2468","4.2100","4.2640","4.1650","1.00%"
"Nov 28, 2022","4.2047","4.2140","4.2470","4.1710","-0.28%"
"Nov 27, 2022","4.2163","4.3179","4.3179","4.2163","0.00%"
"Nov 25, 2022","4.2163","4.1810","4.2840","4.1720","0.85%"
"Nov 24, 2022","4.1806","4.1806","4.1806","4.1806","-0.93%"
"Nov 23, 2022","4.2200","4.3130","4.3640","4.2200","-1.59%"
"Nov 22, 2022","4.2880","4.3160","4.3160","4.2630","-0.78%"
"Nov 21, 2022","4.3219","4.2800","4.3300","4.2430","1.05%"
"Nov 20, 2022","4.2772","4.2856","4.2856","4.2744","-0.46%"
"Nov 18, 2022","4.2968","4.2330","4.3050","4.2040","1.77%"
"Nov 17, 2022","4.2220","4.1410","4.2550","4.1220","1.88%"
"Nov 16, 2022","4.1442","4.1360","4.2140","4.1110","0.06%"
"Nov 15, 2022","4.1417","4.2420","4.2450","4.1310","-2.18%"
"Nov 14, 2022","4.2339","4.2530","4.2840","4.2170","-0.53%"
"Nov 13, 2022","4.2563","4.2535","4.2563","4.2535","1.87%"
"Nov 10, 2022","4.1783","4.4860","4.5340","4.1640","-6.92%"
"Nov 09, 2022","4.4887","4.5760","4.6010","4.4690","-1.68%"
